City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Cape Town,ZA,2020-04-18 18:49:04,-33.93,18.42,68.0,52,5,3.36,clear sky,0.0,0.0
1,Port Alfred,ZA,2020-04-18 18:53:17,-33.59,26.89,66.0,95,0,4.0,clear sky,0.0,0.0
2,Albany,US,2020-04-18 18:53:18,42.6,-73.97,43.0,69,98,1.01,light rain,0.6,0.0
3,Hilo,US,2020-04-18 18:53:18,19.73,-155.09,75.2,64,1,5.66,clear sky,0.0,0.0
4,Vaini,TO,2020-04-18 18:53:18,-21.2,-175.2,77.0,83,20,8.05,few clouds,0.0,0.0
5,Ushuaia,AR,2020-04-18 18:53:18,-54.8,-68.3,51.8,37,75,12.75,broken clouds,0.0,0.0
6,Nikolskoye,RU,2020-04-18 18:53:19,59.7,30.79,37.4,94,75,13.42,broken clouds,0.0,0.0
7,Zabol,AF,2020-04-18 18:53:19,32.25,67.25,53.91,25,0,9.8,clear sky,0.0,0.0
8,Acobamba,PE,2020-04-18 18:53:19,-11.35,-75.66,55.9,25,94,7.58,light rain,0.5,0.0
9,Tuktoyaktuk,CA,2020-04-18 18:53:19,69.45,-133.04,6.8,77,40,6.93,scattered clouds,0.0,0.0
10,Kahului,US,2020-04-18 18:49:54,20.89,-156.47,75.2,60,20,3.36,few clouds,0.0,0.0
11,Garowe,SO,2020-04-18 18:53:20,8.41,48.48,81.55,56,49,16.53,scattered clouds,0.0,0.0
12,Kapaa,US,2020-04-18 18:53:20,22.08,-159.32,77.0,73,20,12.75,few clouds,0.0,0.0
13,Arraial Do Cabo,BR,2020-04-18 18:49:19,-22.97,-42.03,77.0,73,40,10.29,scattered clouds,0.0,0.0
14,Svetlogorsk,BY,2020-04-18 18:53:21,52.63,29.73,39.07,69,70,6.24,broken clouds,0.0,0.0
15,Soyo,AO,2020-04-18 18:53:21,-6.13,12.37,79.2,81,96,6.13,overcast clouds,0.0,0.0
16,Sao Filipe,CV,2020-04-18 18:53:21,14.9,-24.5,71.49,73,14,23.38,few clouds,0.0,0.0
17,Dikson,RU,2020-04-18 18:53:21,73.51,80.55,35.91,91,100,18.05,overcast clouds,0.0,0.0
18,Zyryanka,RU,2020-04-18 18:53:22,65.75,150.85,-0.72,92,100,19.33,light snow,0.0,0.58
19,Bambous Virieux,MU,2020-04-18 18:53:22,-20.34,57.76,79.0,74,40,16.11,shower rain,0.0,0.0
20,Shiogama,JP,2020-04-18 18:53:22,38.32,141.03,50.74,88,92,17.94,light rain,2.69,0.0
21,Aitape,PG,2020-04-18 18:53:22,-3.14,142.35,78.6,82,72,4.79,broken clouds,0.0,0.0
22,Benghazi,LY,2020-04-18 18:53:23,32.12,20.07,62.74,65,0,15.97,clear sky,0.0,0.0
23,Atuona,PF,2020-04-18 18:48:49,-9.8,-139.03,82.26,79,63,14.2,light rain,0.34,0.0
24,Mataura,NZ,2020-04-18 18:49:00,-46.19,168.86,42.01,93,100,5.01,overcast clouds,0.0,0.0
25,Quatre Cocos,MU,2020-04-18 18:53:23,-20.21,57.76,79.0,74,40,16.11,shower rain,0.0,0.0
26,Barrow,US,2020-04-18 18:53:23,71.29,-156.79,-7.6,91,1,9.17,clear sky,0.0,0.0
27,Aktash,RU,2020-04-18 18:53:24,50.3,87.73,26.11,43,0,3.09,clear sky,0.0,0.0
28,Ribeira Grande,PT,2020-04-18 18:53:24,38.52,-28.7,64.4,88,75,10.29,broken clouds,0.0,0.0
29,Vardo,NO,2020-04-18 18:53:24,70.37,31.11,33.8,86,75,11.41,broken clouds,0.0,0.0
30,Asau,RO,2020-04-18 18:53:24,46.43,26.4,50.0,53,52,8.05,broken clouds,0.0,0.0
31,Poitiers,FR,2020-04-18 18:53:24,46.58,0.33,66.2,59,68,3.36,light rain,0.52,0.0
32,Puerto Carreno,CO,2020-04-18 18:53:25,6.19,-67.49,77.0,88,75,9.17,thunderstorm with light rain,0.0,0.0
33,Chernaya Kholunitsa,RU,2020-04-18 18:53:25,58.85,51.72,31.5,91,84,5.1,broken clouds,0.0,0.0
34,Kalmunai,LK,2020-04-18 18:50:01,7.42,81.82,82.35,79,30,5.41,light rain,0.53,0.0
35,Chenzhou,CN,2020-04-18 18:53:25,25.8,113.03,67.78,86,100,1.97,light rain,1.82,0.0
36,Flinders,AU,2020-04-18 18:53:26,-34.58,150.86,53.01,83,92,1.01,light rain,0.2,0.0
37,Arlit,NE,2020-04-18 18:53:26,18.74,7.39,93.45,8,0,5.55,clear sky,0.0,0.0
38,Imeni Zhelyabova,RU,2020-04-18 18:53:26,58.95,36.6,34.38,84,98,3.78,overcast clouds,0.0,0.0
39,Broome,US,2020-04-18 18:53:26,42.25,-75.83,42.01,69,90,12.75,moderate rain,0.0,0.0
40,Batagay,RU,2020-04-18 18:53:26,67.63,134.63,-8.77,87,82,2.1,broken clouds,0.0,0.0
41,Bredasdorp,ZA,2020-04-18 18:53:27,-34.53,20.04,57.2,87,0,4.7,clear sky,0.0,0.0
42,Harper,LR,2020-04-18 18:53:27,4.38,-7.72,82.0,82,92,9.82,moderate rain,3.46,0.0
43,Yei,SS,2020-04-18 18:53:27,4.09,30.68,69.82,69,94,3.44,overcast clouds,0.0,0.0
44,La Roda,ES,2020-04-18 18:53:27,39.22,-2.15,59.0,82,75,10.29,thunderstorm,0.0,0.0
45,Tuma,RU,2020-04-18 18:53:28,55.15,40.55,36.0,70,77,1.99,light rain,0.2,0.0
46,Mar Del Plata,AR,2020-04-18 18:52:40,-38.0,-57.56,75.2,50,0,18.34,clear sky,0.0,0.0
47,Sept-Iles,CA,2020-04-18 18:53:28,50.2,-66.38,33.8,64,20,10.29,few clouds,0.0,0.0
48,Busselton,AU,2020-04-18 18:48:55,-33.65,115.33,62.01,67,100,22.86,light rain,1.0,0.0
