City_ID,City,Country,Weather Description,Max Temp,Lat,Lng,Hotel Name
3,Hilo,US,clear sky,75.2,19.73,-155.09,Hilo Hawaiian Hotel
4,Vaini,TO,few clouds,77.0,-21.2,-175.2,Keleti Beach Resort
10,Kahului,US,few clouds,75.2,20.89,-156.47,Maui Seaside Hotel
11,Garowe,SO,scattered clouds,81.55,8.41,48.48,Curubo Hotel
12,Kapaa,US,few clouds,77.0,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
13,Arraial Do Cabo,BR,scattered clouds,77.0,-22.97,-42.03,Pousada Porto Praia
15,Soyo,AO,overcast clouds,79.2,-6.13,12.37,Hotel Mpampa
19,Bambous Virieux,MU,shower rain,79.0,-20.34,57.76,Casa Tia Villa
21,Aitape,PG,broken clouds,78.6,-3.14,142.35,
25,Quatre Cocos,MU,shower rain,79.0,-20.21,57.76,Veranda Palmar Beach Hotel
32,Puerto Carreno,CO,thunderstorm with light rain,77.0,6.19,-67.49,Casa Hotel Victoria
46,Mar Del Plata,AR,clear sky,75.2,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
50,Rikitea,PF,clear sky,76.78,-23.12,-134.97,Pension Maro'i
55,Kendari,ID,overcast clouds,76.59,-3.94,122.5,Hotel Wixel
56,Isabela,PH,few clouds,78.8,6.71,121.97,Isawad Resort
68,Gladstone,AU,scattered clouds,77.0,-23.85,151.25,Metro Hotel and Apartments Gladstone
70,Victoria,HK,overcast clouds,75.0,22.29,114.16,Mini Hotel Central
77,Puerto Escondido,MX,clear sky,86.0,15.85,-97.07,Aldea del Bazar Hotel and Spa
78,Bubaque,GW,overcast clouds,77.23,11.28,-15.83,Casa Dora
80,Madimba,TZ,broken clouds,77.0,-10.4,40.33,
81,Adrar,MR,overcast clouds,82.8,20.5,-10.07,
82,Waingapu,ID,broken clouds,79.18,-9.66,120.26,Pondok Wisata Elim
83,Hithadhoo,MV,overcast clouds,84.16,-0.6,73.08,Scoop Guest House
89,Avarua,CK,few clouds,78.8,-21.21,-159.78,Paradise Inn
90,Carnarvon,AU,broken clouds,75.2,-24.87,113.63,Hospitality Carnarvon
97,Itupiranga,BR,broken clouds,86.0,-5.13,-49.33,JAIRO ORLINDO VIEIRA
99,Juruti,BR,overcast clouds,87.04,-2.15,-56.09,Hotel Acauã - ORLA
103,Benito Juarez,MX,clear sky,77.0,19.39,-99.17,Room Mate Valentina Hotel
104,Russell,US,scattered clouds,78.8,32.35,-85.2,Macs
109,Dingle,PH,clear sky,80.22,11.0,122.67,Camp Pasica
110,Faanui,PF,broken clouds,82.76,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
121,Adela,PH,clear sky,79.72,12.44,120.97,Villa Lucia Estrella
124,Celestun,MX,scattered clouds,87.78,20.87,-90.4,Posada Lilia
130,Oistins,BB,few clouds,86.0,13.07,-59.53,Butterfly Beach Hotel
132,Ananas,HT,few clouds,84.2,19.25,-71.96,
137,Abu Dhabi,AE,few clouds,77.0,24.47,54.37,Beach Rotana
143,Cerrito,CO,haze,75.2,6.84,-72.69,Finca Lulu
146,Qeshm,IR,haze,78.8,26.96,56.27,Kimia IV Hotel
150,Inhambane,MZ,clear sky,75.11,-23.86,35.38,MHL Turismo SA
152,Cayenne,GF,broken clouds,86.0,4.93,-52.33,Hôtel Le Dronmi
153,Gualeguay,AR,clear sky,81.03,-33.14,-59.31,Cabañas Nuestro Refugio
156,Port-Gentil,GA,scattered clouds,84.2,-0.72,8.78,Fengshui Residence
157,Port Hedland,AU,broken clouds,78.8,-20.32,118.57,The Esplanade Hotel
163,Georgetown,MY,scattered clouds,82.4,5.41,100.34,Cititel Penang
165,Buraydah,SA,dust,78.8,26.33,43.98,Mövenpick Hotel Qassim
166,Souillac,MU,shower rain,79.0,-20.52,57.52,Bils' Villa
170,Karasburg,,clear sky,75.07,-28.02,18.75,Hoon's Selfcatering
180,Mathbaria,BD,overcast clouds,76.01,22.29,89.96,বাহাদুরের চায়ের ষ্টোর
188,Hualmay,PE,broken clouds,77.65,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
200,Jizan,SA,few clouds,89.6,17.33,42.67,شهدان. ابوالحجر
203,Necochea,AR,clear sky,81.0,-38.55,-58.74,dyd -mar Hotel
205,Mahebourg,MU,shower rain,79.0,-20.41,57.7,Shandrani Beachcomber Resort & Spa
208,Cabedelo,BR,scattered clouds,86.0,-6.98,-34.83,Lua Mansa Pousada
211,Mogadishu,SO,overcast clouds,84.54,2.04,45.34,Hotel Juba
215,Acapulco,MX,haze,86.0,16.86,-99.89,HS Hotsson Smart Acapulco
221,Mareeba,AU,overcast clouds,75.2,-17.0,145.43,Trinity Plains Tourist Park
223,Saint-Georges,GD,few clouds,86.0,12.06,-61.75,Radisson Grenada Beach Resort
231,Touros,BR,scattered clouds,87.8,-5.2,-35.46,INN NEW HORIZON
234,Sechura,PE,scattered clouds,77.56,-5.56,-80.82,Hospedaje Costa Bella
236,Coyah,GN,scattered clouds,84.31,9.75,-13.42,Antenne UN Guinea canal 1.2.3
237,Praya,CV,scattered clouds,78.8,14.92,-23.51,LT Aparthotel
239,Kavieng,PG,overcast clouds,82.17,-2.57,150.8,Nusa Island Retreat
240,Hambantota,LK,few clouds,78.8,6.12,81.12,Bungalow 63
247,Aquiraz,BR,scattered clouds,86.0,-3.9,-38.39,Hotel Laguna Blu
248,Eyl,SO,clear sky,83.03,7.98,49.82,Amiin Hotel
250,Vao,NC,scattered clouds,75.09,-22.67,167.48,Hotel Kou-Bugny
252,Grand Gaube,MU,shower rain,79.0,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
255,Puerto Ayora,EC,shower rain,86.0,-0.74,-90.35,Finch Bay Galapagos Hotel
256,Gwadar,PK,scattered clouds,79.39,25.12,62.33,Sadaf Resort
