City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2020-04-18 16:51:31,-34.53,20.04,68.0,60,0,6.93
1,Melita,CA,2020-04-18 16:54:31,49.27,-101.0,48.0,60,94,20.0
2,Nikolskoye,RU,2020-04-18 16:51:25,59.7,30.79,37.4,86,90,15.66
3,Bad Krozingen,DE,2020-04-18 16:54:31,47.92,7.7,73.99,46,53,3.0
4,Tymovskoye,RU,2020-04-18 16:54:31,50.85,142.66,28.06,95,99,3.49
5,Praya,CV,2020-04-18 16:51:50,14.92,-23.51,80.6,51,20,20.8
6,Vaini,TO,2020-04-18 16:50:59,-21.2,-175.2,77.0,83,75,8.05
7,Tuktoyaktuk,CA,2020-04-18 16:51:18,69.45,-133.04,5.0,84,75,10.29
8,Wollongong,AU,2020-04-18 16:54:32,-34.43,150.88,55.0,89,91,6.49
9,Port Alfred,ZA,2020-04-18 16:51:08,-33.59,26.89,69.01,93,0,1.01
10,Muros,ES,2020-04-18 16:52:52,42.78,-9.06,64.99,77,64,8.99
11,Conde,BR,2020-04-18 16:54:33,-7.26,-34.91,89.6,66,40,4.7
12,Hobart,AU,2020-04-18 16:51:06,-42.88,147.33,46.0,87,75,5.59
13,Busselton,AU,2020-04-18 16:51:06,-33.65,115.33,61.0,67,100,22.86
14,Gwembe,ZM,2020-04-18 16:54:33,-16.5,27.61,66.58,48,8,0.85
15,Mataura,NZ,2020-04-18 16:50:57,-46.19,168.86,44.01,94,100,1.99
16,Hilo,US,2020-04-18 16:51:12,19.73,-155.09,68.0,77,1,6.93
17,Albany,US,2020-04-18 16:47:00,42.6,-73.97,41.0,78,98,6.85
18,Comodoro Rivadavia,AR,2020-04-18 16:54:34,-45.87,-67.5,71.6,33,40,27.51
19,Kodiak,US,2020-04-18 16:51:25,57.79,-152.41,39.2,93,40,3.36
20,Kavieng,PG,2020-04-18 16:51:29,-2.57,150.8,82.17,76,99,0.6
21,Reconquista,AR,2020-04-18 16:54:35,-29.15,-59.65,80.74,37,0,7.36
22,Ponta Grossa,BR,2020-04-18 16:54:35,-25.09,-50.16,71.62,38,26,4.72
23,Nanortalik,GL,2020-04-18 16:51:37,60.14,-45.24,30.18,88,27,3.69
24,Chokurdakh,RU,2020-04-18 16:52:02,70.63,147.92,-12.08,86,56,7.52
25,Kruisfontein,ZA,2020-04-18 16:51:22,-34.0,24.73,66.58,52,0,8.77
26,Hermanus,ZA,2020-04-18 16:51:53,-34.42,19.23,66.99,65,6,2.06
27,Iskateley,RU,2020-04-18 16:54:37,67.68,53.15,32.85,96,100,4.97
28,Dikson,RU,2020-04-18 16:52:47,73.51,80.55,35.91,91,100,18.05
29,Grindavik,IS,2020-04-18 16:51:35,63.84,-22.43,37.4,100,90,10.29
30,Rikitea,PF,2020-04-18 16:51:04,-23.12,-134.97,76.78,70,1,4.68
31,Mahibadhoo,MV,2020-04-18 16:54:38,3.78,72.97,85.77,74,15,8.25
32,Moa,CU,2020-04-18 16:54:38,20.66,-74.94,91.04,44,4,8.75
33,Luderitz,NA,2020-04-18 16:52:12,-26.65,15.16,66.2,72,11,11.41
34,Bluff,NZ,2020-04-18 16:51:19,-46.6,168.33,44.01,94,100,1.99
35,Yulara,AU,2020-04-18 16:51:42,-25.24,130.99,71.6,37,0,4.7
36,Omsukchan,RU,2020-04-18 16:51:57,62.53,155.8,-0.09,84,100,6.29
37,Katsuura,JP,2020-04-18 16:51:31,35.13,140.3,57.99,66,4,8.01
38,Middelburg,ZA,2020-04-18 16:54:39,-25.78,29.46,62.56,34,42,4.0
39,Puerto Escondido,MX,2020-04-18 16:54:40,15.85,-97.07,87.8,79,5,5.82
40,Achutupo,PA,2020-04-18 16:54:40,9.2,-77.98,85.14,65,48,10.71
41,Port Elizabeth,ZA,2020-04-18 16:50:56,-33.92,25.57,69.8,94,3,8.05
42,Beringovskiy,RU,2020-04-18 16:52:57,63.05,179.32,18.05,96,100,18.81
43,Kapaa,US,2020-04-18 16:51:18,22.08,-159.32,73.4,73,1,6.93
44,Victoria,HK,2020-04-18 16:47:17,22.29,114.16,75.0,83,96,5.7
45,Margate,GB,2020-04-18 16:52:51,51.38,1.39,52.0,83,20,15.61
46,Rawson,AR,2020-04-18 16:54:41,-43.3,-65.1,67.28,63,100,14.81
47,Atuona,PF,2020-04-18 16:51:32,-9.8,-139.03,82.26,79,63,14.2
48,Saint-Philippe,RE,2020-04-18 16:51:57,-21.36,55.77,78.8,78,7,24.16
49,Quepos,CR,2020-04-18 16:54:42,9.42,-84.17,82.4,44,1,12.75
50,Menongue,AO,2020-04-18 16:54:42,-14.66,17.69,66.43,57,98,5.28
51,Codrington,AU,2020-04-18 16:51:37,-38.27,141.97,51.66,84,47,7.92
52,Ostrovnoy,RU,2020-04-18 16:51:39,68.05,39.51,32.45,95,100,12.5
53,Touros,BR,2020-04-18 16:52:18,-5.2,-35.46,87.8,62,40,4.7
54,Yellowknife,CA,2020-04-18 16:51:23,62.46,-114.35,21.99,78,75,8.05
55,Ushuaia,AR,2020-04-18 16:47:28,-54.8,-68.3,53.6,66,40,13.87
56,Podgornoye,RU,2020-04-18 16:54:43,51.73,39.15,42.8,41,75,8.95
57,Sao Gabriel Da Cachoeira,BR,2020-04-18 16:53:06,-0.13,-67.09,82.02,70,93,5.7
58,Manaus,BR,2020-04-18 16:49:55,-3.1,-60.02,78.8,83,75,4.7
59,Ilulissat,GL,2020-04-18 16:51:58,69.22,-51.1,24.8,85,75,8.05
60,Georgetown,MY,2020-04-18 16:51:02,5.41,100.34,84.0,88,20,4.7
61,Waddan,LY,2020-04-18 16:54:44,29.16,16.14,78.35,16,27,9.64
62,Semnan,IR,2020-04-18 16:54:45,35.57,53.4,64.38,31,99,1.83
63,New Norfolk,AU,2020-04-18 16:50:58,-42.78,147.06,45.0,85,70,1.01
64,Cape Town,ZA,2020-04-18 16:50:32,-33.93,18.42,73.0,40,5,4.7
65,Anuchino,RU,2020-04-18 16:54:45,43.96,133.05,41.4,67,4,2.73
66,Arraial Do Cabo,BR,2020-04-18 16:52:02,-22.97,-42.03,77.0,69,40,9.17
67,Polovinnoye,RU,2020-04-18 16:54:46,54.79,65.99,47.55,66,95,7.65
68,Alofi,NU,2020-04-18 16:53:04,-19.06,-169.92,75.2,94,37,6.93
69,Wajir,KE,2020-04-18 16:54:46,1.75,40.06,86.7,55,100,6.35
70,Vallenar,CL,2020-04-18 16:51:10,-28.57,-70.76,82.15,28,0,9.57
71,Mar Del Plata,AR,2020-04-18 16:48:23,-38.0,-57.56,72.0,60,0,20.8
72,San Cristobal,VE,2020-04-18 16:50:26,7.77,-72.22,84.2,62,40,3.36
73,East London,ZA,2020-04-18 16:48:13,-33.02,27.91,71.94,64,0,17.94
74,Thompson,CA,2020-04-18 16:52:32,55.74,-97.86,6.8,65,40,8.05
75,Laguna,US,2020-04-18 16:54:48,38.42,-121.42,57.99,62,1,12.75
76,Nohar,IN,2020-04-18 16:54:48,29.18,74.77,82.09,34,6,11.79
77,Ixtapa,MX,2020-04-18 16:54:48,20.7,-105.2,77.0,69,75,2.24
78,Mangit,UZ,2020-04-18 16:54:48,40.6,70.96,62.6,39,0,6.93
79,Cherskiy,RU,2020-04-18 16:51:08,68.75,161.3,-4.95,87,39,6.04
80,Eureka,US,2020-04-18 16:50:25,40.8,-124.16,54.0,79,99,4.7
81,Rio Claro,BR,2020-04-18 16:54:49,-22.41,-47.56,75.43,57,97,5.82
82,Khatanga,RU,2020-04-18 16:51:27,71.97,102.5,10.49,93,0,4.81
83,Jamestown,US,2020-04-18 16:51:12,42.1,-79.24,39.0,69,40,9.17
84,Adrar,MR,2020-04-18 16:51:37,20.5,-10.07,82.8,25,96,8.77
85,Narsaq,GL,2020-04-18 16:52:14,60.92,-46.05,32.0,86,40,3.36
86,Weligama,LK,2020-04-18 16:52:54,5.97,80.42,80.47,83,50,4.76
87,Upernavik,GL,2020-04-18 16:51:16,72.79,-56.15,25.68,89,100,29.04
88,Arman,RU,2020-04-18 16:54:51,59.7,150.17,8.35,89,100,16.11
89,Punta Arenas,CL,2020-04-18 16:48:57,-53.15,-70.92,48.2,57,57,14.99
90,Puerto Ayora,EC,2020-04-18 16:50:55,-0.74,-90.35,84.2,70,40,13.87
91,Le Havre,FR,2020-04-18 16:54:51,49.49,0.11,62.01,87,20,11.41
92,Qaanaaq,GL,2020-04-18 16:51:30,77.48,-69.36,19.42,82,26,11.03
93,Panaba,MX,2020-04-18 16:54:52,21.28,-88.27,96.67,36,23,8.75
94,Eucaliptus,BO,2020-04-18 16:51:56,-17.58,-67.52,55.49,14,45,1.54
95,Provideniya,RU,2020-04-18 16:51:10,64.38,-173.3,21.16,95,100,16.24
96,Chara,RU,2020-04-18 16:51:51,56.91,118.26,11.84,76,100,6.76
97,Lubango,AO,2020-04-18 16:54:06,-14.92,13.49,61.74,51,92,3.74
98,Hithadhoo,MV,2020-04-18 16:51:11,-0.6,73.08,84.16,74,99,12.82
99,Barrow,US,2020-04-18 16:50:02,71.29,-156.79,-9.4,91,1,5.82
100,Pervouralsk,RU,2020-04-18 16:54:53,56.91,59.94,35.6,78,36,6.71
101,Taywarah,AF,2020-04-18 16:54:54,33.35,64.42,43.95,27,17,3.29
102,Gombong,ID,2020-04-18 16:52:24,-7.61,109.51,78.28,84,100,3.71
103,Taseyevo,RU,2020-04-18 16:54:54,57.22,94.9,31.55,91,46,7.02
104,Tiksi,RU,2020-04-18 16:51:15,71.69,128.87,5.04,87,92,4.7
105,Guerrero,MX,2020-04-18 16:54:55,17.67,-100.0,95.5,18,7,1.48
106,Odessa,UA,2020-04-18 16:50:16,46.48,30.73,51.8,40,30,6.71
107,Deputatskiy,RU,2020-04-18 16:53:00,69.3,139.9,-15.95,73,0,1.83
108,Aquidaba,BR,2020-04-18 16:54:55,-10.28,-37.02,84.83,62,49,10.6
109,Tazovskiy,RU,2020-04-18 16:52:34,67.47,78.7,36.77,98,100,22.64
110,Mildura,AU,2020-04-18 16:54:56,-34.2,142.15,48.2,87,42,3.36
111,Tulle,FR,2020-04-18 16:54:56,45.33,1.83,64.4,52,96,2.24
112,Husavik,IS,2020-04-18 16:51:33,66.04,-17.34,48.2,66,75,39.15
113,Namatanai,PG,2020-04-18 16:54:56,-3.67,152.43,81.41,77,100,3.33
114,Lasa,IT,2020-04-18 16:51:04,46.62,10.7,62.6,42,75,3.36
115,Qurbus,TN,2020-04-18 16:54:57,36.82,10.57,71.6,78,20,11.41
116,Kirzhach,RU,2020-04-18 16:54:57,56.15,38.87,35.73,79,77,6.33
117,Ancud,CL,2020-04-18 16:52:01,-41.87,-73.82,55.4,93,75,5.82
118,Areosa,PT,2020-04-18 16:54:57,41.72,-8.86,62.6,77,20,10.29
119,Turtas,RU,2020-04-18 16:54:58,58.94,69.13,44.94,73,100,10.07
120,Umm Kaddadah,SD,2020-04-18 16:54:58,13.6,26.69,84.58,11,18,11.01
121,Biltine,TD,2020-04-18 16:54:58,14.53,20.92,86.45,10,1,9.04
122,Ahipara,NZ,2020-04-18 16:52:08,-35.17,173.17,63.79,84,65,10.96
123,Verkhoyansk,RU,2020-04-18 16:54:59,67.54,133.38,-10.08,84,80,2.46
124,Ponta Do Sol,PT,2020-04-18 16:51:07,32.67,-17.1,66.99,83,6,5.99
125,Matagami,CA,2020-04-18 16:54:59,49.75,-77.63,37.4,44,1,19.46
126,Mastung,PK,2020-04-18 16:54:59,29.8,66.84,60.22,24,74,5.7
127,Chuguyevka,RU,2020-04-18 16:55:00,44.17,133.86,40.69,67,37,2.73
